iter	Passed	Remaining
0	2	452
1	5	496
2	7	498
3	10	498
4	12	500
5	15	505
6	18	509
7	22	528
8	25	533
9	28	533
10	30	525
11	33	530
12	36	531
13	39	530
14	42	525
15	45	524
16	48	525
17	51	525
18	54	522
19	57	520
20	60	517
21	63	516
22	67	516
23	70	514
24	73	512
25	76	510
26	79	509
27	82	509
28	86	510
29	89	508
30	93	509
31	96	508
32	100	508
33	103	506
34	107	507
35	111	508
36	115	506
37	118	503
38	121	499
39	124	498
40	130	504
41	134	504
42	138	504
43	141	502
44	145	502
45	149	500
46	153	498
47	156	496
48	160	493
49	163	490
50	166	486
51	170	485
52	174	482
53	177	480
54	181	477
55	184	475
56	187	471
57	191	467
58	194	464
59	197	461
60	201	458
61	204	455
62	207	451
63	211	448
64	214	445
65	217	441
66	220	437
67	223	434
68	226	430
69	230	427
70	233	423
71	236	419
72	239	416
73	242	413
74	245	409
75	248	404
76	250	400
77	253	396
78	255	391
79	258	388
80	261	383
81	263	379
82	266	375
83	268	371
84	271	367
85	274	363
86	276	359
87	279	355
88	281	351
89	284	347
90	287	343
91	290	340
92	292	336
93	295	333
94	298	329
95	300	325
96	303	322
97	306	318
98	309	315
99	311	311
100	314	308
101	316	304
102	319	300
103	322	297
104	326	295
105	329	291
106	331	288
107	334	284
108	337	281
109	340	278
110	342	274
111	345	271
112	348	268
113	351	265
114	354	261
115	356	258
116	359	254
117	362	251
118	364	248
119	367	244
120	369	241
121	372	238
122	374	234
123	377	231
124	380	228
125	383	225
126	386	222
127	389	219
128	393	216
129	396	213
130	399	210
131	402	207
132	405	204
133	408	201
134	411	198
135	415	195
136	418	192
137	421	189
138	424	186
139	427	183
140	430	180
141	433	177
142	436	173
143	439	170
144	442	167
145	445	164
146	449	162
147	452	159
148	455	156
149	458	152
150	461	149
151	464	146
152	468	143
153	471	140
154	475	138
155	479	135
156	482	132
157	485	129
158	488	125
159	491	122
160	494	119
161	497	116
162	500	113
163	503	110
164	506	107
165	509	104
166	513	101
167	516	98
168	519	95
169	522	92
170	525	89
171	528	86
172	531	82
173	534	79
174	537	76
175	540	73
176	543	70
177	546	67
178	548	64
179	551	61
180	554	58
181	557	55
182	560	52
183	563	49
184	566	45
185	569	42
186	573	39
187	575	36
188	578	33
189	581	30
190	584	27
191	588	24
192	591	21
193	593	18
194	596	15
195	599	12
196	602	9
197	605	6
198	608	3
199	611	0
